"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"D4,D6,D5";"LED_D5.0mm";3;"LED";;;
2;"U1";"TO-220-3_Vertical";1;"L7805";;;
3;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"apagado 1";;;
4;"J2";"TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal";1;"PTT";;;
5;"C4,C1";"CP_Radial_D5.0mm_P2.00mm";2;"1uf";;;
6;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
7;"C3,C2,C5";"C_Disc_D4.7mm_W2.5mm_P5.00mm";3;"100nf";;;
8;"K2,K1";"Relay_SPDT_Finder_36.11";2;"SRD-05VDC-SL-C";;;
9;"Q1,Q2";"TO-92_Inline";2;"2N3904";;;
10;"R3,R5,R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"680";;;
11;"D3";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
12;"R1,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"330";;;
13;"JP3";"PinHeader_1x02_P2.54mm_Vertical";1;"apagado 3";;;
14;"D1,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
15;"J1";"TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal";1;"ALIMENTACION";;;
16;"JP4";"PinHeader_1x02_P2.54mm_Vertical";1;"RESET";;;
17;"J3";"TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal";1;"AUDIO";;;
18;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"apagado 2";;;
19;"J4";"TerminalBlock_RND_205-00001_1x02_P5.00mm_Horizontal";1;"VCC_13v8_ENTRADA";;;
